だれ|dare|ai
タイ|tai|thái lan
わたし|watashi|tôi
いいえ|iie|không
はい|hai|vâng, dạ
けんしゅうせい|kenshuusei|tu nghiệp viên
フィリピン|phiripin|philipin
コンピューター|konpu-ta-|máy vi tính
どうぞよろしく|doozoyoroshiku|rất hanh hạnh được gặp
はじめまして|hajimemashite|xin chào(lần đầu)
わたしたち|watashitachi|chúng tôi
せんもん|senmon|chuyên môn
じん|jin|người
マレーシア|mare-shia|malayxia
あなた|anata|bạn
あのひと|anohito|người kia
きかい|kikai|máy móc
さん|san|ông ~, bà ~
みなさん|minasan|mọi người
ちゅうごく|chugoku|trung quốc
インド|indo|ấn độ
インドネシア|indoneshia|indonexia
かんこく|kangoku|hàn quốc
さい|sai|tuổi
でんき|denki|điện
おはようございます|ohayo-gozaimasu|chào buổi sáng
じどうしゃ|kuruma|xe hơi
なんさい|nansai|bao nhiêu tuổi
にほん|nihon|nhật bản
せんせい|sensei|giáo viên
