います|imasu|có(người, loài vật)
あります|arimasu|có(đồ vật)
いろいろ|iroiro|nhiu loại
うえ|ue|trên
した|shita|dưới
まえ|mae|trước
うしろ|ushiro|sau
みぎ|migi|phải
ひだり|hitari|trái
なか|naka|trong
そと|soto|ngoài
となり|tonari|bên cạnh
あいだ|aida|ở giữa
ちかく|chikaku|gần
もの|mono|đồ vật
ちず|chizu|bản đồ
けしゴム|keshigomu|tẩy
セロテープ|seroteepu|băng dính
ホッチキス|hochikisu|dập ghim
パスポート|pasupooto|hộ chiếu
ベッド|beddo|giường
おとこのひと|otoko no hito|đàn ông
おんなのひと|onna no hito|đàn bà
おとこのこ|otoko no ko|con trai
おんなのこ|onna no ko|con gái
レストラン|resutoran|nhà hàng
こうえん|koen|công viên
たいしかん|taishikan|đại sứ quán
ゆうびんきょく|yuubinkyoku|bưu điện
ポスト|posuto|hòm thư
ビル|biru|tòa nhà
がっこう|gakko|trường học
や|ya|~,~,vv
あのう|anoo|làm ơn cho tôi hỏi
いってまいります|itte mairimasu|tôi đi đây
いっていらっしゃい|itte irasshai|anh đi nhé
