ゆっくり|thong thả
よみかた|cách đọc
また|lại,nữa
もういちど|một lần nữa
ワープロ|máy chữ điện tử
タイプ|máy chữ 
かきかた|cách viết
つかいかた|cách dùng
もうすこし|một chút nữa
どうもすみません|rất xin lỗi
こちらはいかがですか|loại này thế nào
またきます|tôi sẽ lại đến
ううん|chà
すぐ|ngay lập tức
はやく|nhanh
やすいのはあいませんか|có loại rẻ ko?
あとで|sau đây
かさ|cái ô
いいます|nói
てつだいます|giúp đở
おぼえます|nhớ
はなします|kể
いそぎます|vội vàng
よびます|gọi
とります|cầm , lấy
まちます|chờ đợi
おしえます|cho biết
でんわばんご|số điện thoại
じゅうしょ|địa chỉ
さとう|đường
しお|muối
ふります|(mưa) rơi
みせます|cho xem
なまえ|tên
ことば|từ 
