ここ|koko|chỗ này
そこ|soko|chỗ ấy
あそこ|asoko|chỗ kia
どこ|doko|chỗ nào
こちら|kochira|đằng này
そちら|sochira|đằng đó
あちら|achira|đằng kia
どちら|dochira|đằng nào
きょうしつ|kyoushitsu|phòng học
しょくどう|shokudo|nhà ăn
おてあらい|otearai|nhà vệ sinh
ロビー|robi-|hành lang
うけつけ|uketsuke|tiếp tân
じむしょ|jimusho|văn phòng
へや|heya|phòng
にわ|niwa|vườn
センター|senta-|trung tâm
エレベーター|erebe-ta-|thang máy
うち|uchi|nhà
かいしゃ|kaisha|công ty, hãng
くに|kuni|nước
うりば|uriba|quầy
かい|kai|tầng
えん|en|yên
いくら|ikura|giá bao nhiêu
ひゃく|hyaku|trăm
せん|sen|nghìn
まん|man|vạn
アメリカ|amerika|Hoa Kỳ
イギリス|igirisu|Anh
ちょっとすみません|chotto sumimasen|xin lỗi
どうも|doumo|cảm ơn
いらっしゃいませ|irasshaimase|mời vào
じゃ|ja|vậy thì
これをください|kore o kudasai|xin cho tôi cái này
