さま|ông, bà, cô(kính ngữ)
かいじょう|hội trường
まえ|trước
ごかぞく|gia đình(của người khác)
ご|tiếp đầu ngữ lễ độ
あのかた|vị kia
すぎ|qua
どちらさまですか|vị đây là ai ạ?
おまちください|xin vui lòng chờ
おかわりありませんか|có gì lạ ko ạ?
さいしょに|thoạt tiên
さいごに|cuối cùng
しつれいですか|xin phép cho tôi hỏi
お|tiếp đầu ngữ lề phép
あいさつします|chào hỏi
いらっしゃいます|ở nhà, ở, đi , đến
めしあがります|dùng bữa
やすみます|đi ngủ
かけます|ngồi 
もどります|quay về
おっしゃいます|nói(kính ngữ)
おじょうず|giỏi(kính ngữ)
おたく|nhà(của ng khác)
おくに|nước(của ng khác)
なさいます|làm(kính ngữ)
ごらんになります|xem(kính ngữ)
ごぞんじです|biết(kính ngữ)
